    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
        inter       -0.4894       -0.6846       -0.6752       -0.0317       -0.0539
        inter       -0.3724       -0.6738       -0.7687       -0.0032       -0.0258
        inter       -0.3670       -0.7324       -0.7768        0.0713        0.0466
        inter       -0.3755       -0.7552       -0.8169        0.0097       -0.0121
        inter       -0.6220       -1.1198       -1.1232       -0.0027       -0.0163
        inter       -0.2510       -0.4994       -0.5416       -0.0431       -0.0844
        inter       -0.3565       -0.7337       -0.7692        0.0424        0.0210
        inter       -0.4242       -0.7738       -0.7951        0.0235        0.0001
        inter       -0.4587       -0.7024       -0.7338        0.0017       -0.0139
        inter       -0.2738       -0.5244       -0.5710        0.0005       -0.0289
        inter       -0.2575       -0.4583       -0.4617        0.0111       -0.0129
        inter       -0.6102       -0.9387       -0.9521       -0.0439       -0.0575
        inter       -0.4656       -0.6888       -0.7081       -0.0345       -0.0545
        inter       -0.3706       -0.7360       -0.7506       -0.0397       -0.0720
        inter       -0.5049       -0.9502       -0.9883        0.0373        0.0203
        inter       -0.2980       -0.5050       -0.4792        0.0189        0.0043
        inter       -0.4747       -1.1129       -1.1566       -0.0125       -0.0386
        inter       -0.1358       -0.2149       -0.2671        0.0677        0.0371
        inter       -0.5263       -0.8677       -0.8661       -0.0677       -0.0771
        inter       -0.4415       -0.7795       -0.8358        0.0049       -0.0270
        inter       -0.3442       -0.5607       -0.4907       -0.0513       -0.0645
        inter       -0.2720       -0.5509       -0.5860        0.0486        0.0143
        inter       -0.4121       -0.7318       -0.7155       -0.0263       -0.0427
        inter       -0.4856       -0.7367       -0.7848       -0.0162       -0.0323
        inter       -0.4312       -0.7774       -0.8178        0.0082       -0.0136
        inter       -0.4510       -0.7175       -0.7441       -0.0314       -0.0503
        inter       -0.6371       -0.9741       -1.0018        0.0051       -0.0040
        inter       -0.4222       -0.6526       -0.7102        0.0375        0.0153
        inter       -0.3711       -0.5682       -0.5942        0.0537        0.0354
        inter       -0.4185       -0.6655       -0.6989       -0.0483       -0.0773
        inter       -0.4855       -0.9368       -1.0489       -0.0180       -0.0363
        inter       -0.5128       -0.8233       -0.9032        0.0306        0.0023
        inter       -0.3115       -0.6019       -0.6476       -0.0311       -0.0547
        inter       -0.1676       -0.2713       -0.2696       -0.0077       -0.0250
        inter       -0.2616       -0.4977       -0.5511       -0.0115       -0.0428
        inter       -0.4942       -0.9234       -0.9319       -0.0062       -0.0215
        inter       -0.5395       -0.9481       -1.0084       -0.0521       -0.0722
        inter       -0.2926       -0.5370       -0.6123       -0.0072       -0.0393
        inter       -0.5357       -0.9019       -0.9118       -0.0161       -0.0276
        inter       -0.2906       -0.6958       -0.6822        0.0845        0.0765
        inter       -0.4199       -0.7652       -0.7756        0.0280        0.0038
        inter       -0.4472       -0.7768       -0.7238       -0.0365       -0.0511
        inter       -0.4137       -0.7462       -0.7168       -0.0008       -0.0239
        inter       -0.1783       -0.3093       -0.3219        0.0233        0.0165
