    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
       season       -0.7562       -1.3080       -1.3173        0.0211        0.0240
       season       -0.7314       -1.4131       -1.3848       -0.0118       -0.0110
       season       -0.6512       -1.3714       -1.3379       -0.0061       -0.0081
       season       -0.7635       -1.4808       -1.4565        0.0031        0.0053
       season       -0.7085       -1.4294       -1.4253        0.0159        0.0156
       season       -0.7612       -1.5651       -1.5225        0.0012        0.0040
       season       -0.7551       -1.3784       -1.3450        0.0126        0.0149
       season       -0.6918       -1.4041       -1.3922        0.0133        0.0145
       season       -0.6667       -1.3402       -1.2698       -0.0023       -0.0029
       season       -0.6997       -1.4765       -1.4569       -0.0149       -0.0162
       season       -0.7570       -1.4514       -1.4227        0.0045        0.0073
       season       -0.7393       -1.1572       -1.1519        0.0005        0.0005
       season       -0.6384       -1.3323       -1.2733       -0.0163       -0.0194
       season       -0.6501       -1.0403       -1.0214       -0.0086       -0.0075
       season       -0.7355       -1.4101       -1.3963       -0.0229       -0.0237
       season       -0.7372       -1.5854       -1.5684       -0.0052       -0.0091
       season       -0.7406       -1.5019       -1.4337        0.0106        0.0136
       season       -0.6699       -1.2744       -1.2340        0.0214        0.0205
       season       -0.6963       -1.2487       -1.2304       -0.0245       -0.0269
